,explanation,type,word
52,develop and reach maturity; grow old or older,v. ,mature
53,state or quality of being mature; ripeness; full development; arrival of the time fixed for payment,n. ,maturity
54,the largest possible quantity,n. ,maximum
55,tract of low or level land producing grass; any field on which grass is grown for hay,n. ,meadow
56,"determine the size of something; mark, lay out, or establish dimensions; estimate by evaluation or comparison",v. ,measure
57,automatic; monotonous; relating to or governed by or in accordance with mechanics,a. Syn. automatic; monotonous,mechanical
58,branch of physics concerned with the motion of bodies,n. ,mechanics
59,device; machine; the technical aspects of doing something,n. Syn. device; machine,mechanism
60,"a piece of metal in form of coin, and intended to preserve remembrance of notable event or person, or to serve as a reward",n. ,medal
61,very old-fashioned; as if belonging to the Middle Ages,a. ,medieval
62,dwell on anything in thought; think seriously; keep the mind fixed upon; purpose; plan in the mind,v. ,meditate
63,lengthy intent consideration; long and thoughtful observation; contemplation of spiritual matters,n. Syn. contemplation; consideration,meditation
64,state that is intermediate between extremes,n. ,medium
65,quiet and obedient; showing patience and humility,a. Syn. spiritless; gentle,meek
66,gloomy; feeling of thoughtful sadness; affected by depression,a. Syn. gloomy; sad,melancholy
67,tune; pleasing succession or arrangement of sounds; poem suitable for setting to music or singing,n. Syn. tune,melody
68,"juicy fruit of certain cucurbitaceous plants, as the muskmelon, watermelon;  plant that produces the fruit juicy",n. ,melon
69,changed from a solid to a liquid state especially by the application of heat,v. ,melt
70,short note; memorandum; written proposal or reminder,n. Syn. note; memorandum,memo
71,"monument; short note or abstract, intended for registry, exhibiting the particulars of a deed",n. Syn. monument,memorial
72,commemorate; commit to memory; learn by heart ,v. Syn. commemorate,memorize
73,"faculty of mind by which it retains the knowledge of previous thoughts, impressions, or events",n. Syn. recollection; memorial,memory
74,danger; a threat or the act of threatening; something that is a source of danger; threaten; intimidate,n. Syn. danger,menace
75,make repairs or restoration to; fix; improve,v. Syn. repair; improve,mend
76,involving mind or intellectual process;  affected by disorder of mind,a. ,mental
77,mental action or power; intellectual activity; intellectuality,n. ,mentality
78,"speak or notice of anything, usually in a brief or cursory manner",v. Syn. refer; indicate,mention
79,an agenda of things to do ,n. ,menu
80,trading; commercial; of or relating to trade or traders,a. Syn. trading; commercial,mercantile
81,objects for sale; goods,n. Syn. goods,merchandise
82,"one who traffics on a large scale, especially with foreign countries; trafficker; trader",n. ,merchant
83,compassionate treatment of unfortunate and helpless; willingness to spare or to help; disposition to be kind,n. Syn. clemency,mercy
84,being nothing more than what is specified; considered apart from anything else; small; slight,a. ,mere
85,combine; unite,v. Syn. combine; unite,merge
86,virtue; admirable quality or attribute; credit,n. Syn. virtue; value; credit,merit
87,legendary sea creature having the head and upper body of a woman and the tail of a fish,n. ,mermaid
88,opening or space enclosed by the threads of a net between knot and knot; network or net,n. Syn. enclose,mesh
89,soft semi liquid food; a quantity of food set on a table at one time; provision of food for one meal,n. ,mess
90,of or pertaining to metal; of metal nature; resembling metal,a. ,metallic
91,orderly procedure or process; regular manner of doing anything,n. Syn. manner; way; mode,method
92,system of methods followed in a particular discipline,n. ,methodology
93,excessively careful; marked by extreme care in treatment of details,a. Syn. scrupulous; cautious,meticulous
94,standard of measurement; geometric function that describes the distances between pairs of points in a space,n. ,metric
95,city center; one who lives in a city center,a. Syn. city,metropolitan
96,magnifier of the image of small objects,n. ,microscope
97,a short electromagnetic wave; cook or heat in a microwave oven,n. ,microwave
98,having or showing great strength or force or intensity,a. Syn. powerful; great,mighty
99,habitually moving from place to place especially in search of seasonal work; wandering,a. Syn. wandering,migrant
100,move from one country or region to another and settle there,v. ,migrate
101,movement of persons from one country or locality to another,n. ,migration
102,landmark; significant development,n. Syn. landmark; significant development,milestone
103,"pertaining to soldiers, to arms, or to war; of whole body of soldiers",a. Syn. soldiery; militia,military
104,white fluid secreted by the mammary glands of female mammals for the nourishment of their young,n. ,milk
105,one who keeps or attends a flour mill or gristmill; milling machine,n. ,miller
106,one whose material wealth is valued at more than a million dollars,n. ,millionaire
107,cut into very small pieces; chop fine; suppress or weaken the force of,v. ,mince
108,be all mixed up or jumbled together;,v. ,mingle
109,very small; model that represents something in a greatly reduced size,a. Syn. tiny,miniature
110,diminish; belittle; make small or insignificant,v. Syn. diminish,minimize
111,the smallest possible quantity,a. ,minimum
112,one who performs service for another; officer of justice; executive head of a government department,n. Syn. servant; subordinate,minister
113,"act of serving; government department, at the administrative level normally headed by a minister",n. ,ministry
114,of lesser importance or stature or rank; not of legal age; limited in size or scope,a. ,minor
115,a group of people who differ racially or politically from a larger group,n. ,minority
116,less; requiring to be subtracted; negative,a. ,minus
117,extremely small; short note,a. Syn. tiny,minute
118,wonderful thing; something that excites admiration or astonishment,n. Syn. marvel; wonder,miracle
119,astonishing; amazing,a. Syn. astonishing; amazing,miraculous
120,failure of administration or management; failure to attain a desired result or reach a destination,n. ,miscarriage
121,behavior that causes discomfiture or annoyance in another; tendency to play pranks or cause embarrassment,n. ,mischief
122,very unhappy; full of misery; wretched,a. Syn. unhappy; wretched,miserable
123,great unhappiness; extreme pain of body or mind,n. Syn. calamity; misfortune,misery
124,bad fortune or ill luck; bad luck,n. ,misfortune
125,"feeling of doubt, distrust, or apprehension",n. Syn. doubt,misgiving
126,unfortunate accident; bad luck,n. Syn. accident; misfortune,mishap
127,deceive; misguide,v. Syn. deceive; misguide,mislead
128,weapon that is thrown or projected;  rocket carrying instruments or warhead,n. ,missile
129,assignment that is given to a person or group; operation that is assigned by a higher headquarters; job; task,n. ,mission
130,"visible watery vapor suspended in atmosphere, at or near the surface of the earth; fog; haze before the eyes that blurs the vision",n. ,mist
131,"a low prolonged sound of grief or pain, whether articulate or not; groan softly and continuously",n. ,moan
132,movable; not fixed; fluid; unstable,a. Syn. movable,mobile
133,"assemble, prepare, or put into operation for or as if for war; make mobile or capable of movement",v. ,mobilize
134,treat with ridicule or contempt; mimic; frustrate hopes of,v. Syn. ridicule; mimic; disappoint,mock
135,prevailing style; manner; way of doing something; fashion or style,n. Syn. manner; method; style,mode
136,temperate; gentle; mild; make less fast or intense ; preside over,a. Syn. temperate; gentle; mild,moderate
137,humble; less ambitious; moderate,a. Syn. humble; moderate,modest
138,"act of modifying, or state of being modified; modified form or condition; a change",n. ,modification
139,alter; change,v. Syn. alter; change,modify
140,tone down in intensity; regulate; change from one key to another,v. ,modulate
141,standard or unit of measurement; self-contained component of a system; unit of education covering a single topic,n. ,module
142,slightly wet; damp or humid,a. Syn. wet; damp,moist
143,wetness caused by water,n. ,moisture
144,of molecules;  relating to simple or basic structure or form,a. ,molecular
145,"the smallest particle of substance, having all the properties of that substance",n. ,molecule
146,done in a moment; continuing only a moment; lasting a very short time,a. ,momentary
147,very important; of outstanding significance or consequence,a. Syn. grave; serious,momentous
148,"king; sole and absolute ruler; sovereign, such as a king or empress",n. Syn. king; ruler,monarch
149,"house of religious retirement, or of seclusion from ordinary temporal concerns, especially for monks",n. ,monastery
150,of or relating to money; nation's currency; financial,a. Syn. fiscal; pecuniary; financial,monetary
151,observe; watch; keep an eye on,v. Syn. observe; watch; locate,monitor
152,dominate; occupy; have and control fully and exclusively,v. Syn. dominate; occupy,monopolize
153,exclusive control or possession of something; domination,n. Syn. domination,monopoly
154,boring; dull; tediously repetitious or lacking in variety,a. Syn. boring; dull,monotonous
155,"uniformity or lack of variation; continual increase, or continual decrease; tedium as a result of repetition",n. ,monotony
156,beast; ugly creature; someone or something that is abnormally large and powerful,n. ,monster
157,"marvelous; strange; extraordinary on account of ugliness, viciousness, or wickedness",a. ,monstrous
158,structure erected to commemorate persons or events; memorial,n. Syn. statue; memorial,monument
159,massive; taking a great amount of time and effort to complete; in manner of a monument,a. Syn. massive,monumental
160,"dark-colored person generally; broad area of open land, often high but poorly drained",n. ,moor
161,confidence; mood or spirit of a group that makes the members wants the group to succeed ,n. Syn. confidence; spirit; mood,morale
162,"set of social rules, customs, traditions, beliefs, or practices which specify proper, acceptable forms of conduct",n. ,morality
163,beyond what has been said; further; besides; in addition; furthermore; also; likewise,ad. ,moreover
164,"man, human being; liable or subject to death; accompanying death",n. ,mortal
165,motor hotel; lodging rooms adjacent to a parking lot,n. ,motel
166,movement; act of changing location; ability or power to move,n. Syn. movement; action,motion
167,"at rest, stationary, immobile, not moving",a. Syn. still; immobile; stationary,motionless
168,stimulate; impel; provide with an incentive; move to action,v. Syn. prompt; stimulate; impel,motivate
169,incentive; psychological feature that arouses an organism to action toward a desired goal,n. Syn. incentive; drive,motivation
170,"emotion, desire, physiological need; that which gives purpose and direction to behavior",n. Syn. intention; purpose,motive
171,"short, suggestive expression of a guiding principle; maxim",n. ,motto
172,"crumbling, soft, friable earth; soil",n. ,mould
173,go up or advance; fix onto a backing; put up or launch,v. ,mount
174,express or to feel grief or sorrow; grieve; be sorrowful,v. ,mourn
175,feeling or expressing sorrow or grief; sad; gloomy,a. Syn. sorrowful; sad; gloomy,mournful
176,expression of deep sorrow because someone has died,n. ,mourning
177,"hair growing on the human upper lip, especially when cultivated and groomed",n. ,moustache
178,opening through which an animal receives food; aperture between jaws or between lips,n. Syn. entrance,mouth
179,"act of moving; change of place or posture; transference, by any means, from one situation to another",n. ,movement
180,bare end of nose between nostrils,n. ,muffle
181,heavy scarf worn around the neck for warmth; anything used in muffling; part of the exhaust pipe of a car that dampens the noise,n. ,muffler
182,"having, or consisting of more than one part; many",a. ,multiple
183,proliferate; increase; combine by multiplication,v. Syn. proliferate; increase,multiply
184,a great number; many,n. ,multitude
185,metropolitan; civic; having local self-government,a. Syn. metropolitan; civic,municipal
186,"make low, confused, and indistinct sound, like that of running water",v. ,murmur
187,having or suggesting great physical power; of or relating to or consisting of muscle,a. Syn. brawny,muscular
188,be absorbed in one's thoughts; consider or say thoughtfully,v. Syn. ponder,muse
189,"multiply, grow, or expand rapidly",v. ,mushroom
190,refraining from producing speech or vocal sound; unable to speak; expressed without speech; unspoken,a. ,mute
191,sheep; flesh of a sheep;  loose woman; prostitute,n. ,mutton
192,common to or shared by two or more parties; shared,a. Syn. interactive; shared,mutual
193,of very large or indefinite number; of ten thousand,a. Syn. innumerable; many; countless; numberless,myriad
194,beyond ordinary understanding,a. ,mysterious
195,legend; fable; a traditional story accepted as history,n. Syn. legend; fable,myth
196,study of myths; collection of myths,n. ,mythology
0,bare and pure; completely unclothed,a. Syn. nude; bare,naked
1,by name; by particular mention; expressly; that is to say,ad. ,namely
2,a period of time spent sleeping,n. ,nap
3,someone who tells a story,n. ,narrator
4,"very dirty, foul; disgusting; nauseous",a. ,nasty
5,being as origin; as found in nature in the elemental form,a. ,native
6,feeling of sickness in stomach by an urge to vomit; strong aversion; disgust,n. ,nausea
7,"relating to, or adjacent to the sea; relating to marine shipping or navigation",a. Syn. maritime,naval
8,wide and deep enough to allow ships to pass through; able to be steered,a. ,navigable
9,guidance of ships or airplanes from place to place,n. ,navigation
10,clean or orderly,a. Syn. tidy; clean,neat
11,make necessary or indispensable; render unavoidable,v. ,necessitate
12,"long, thin, sharp implement usually for piercing such as sewing, or knitting",n. ,needle
13,poor; indigent; being in need; impoverished,a. Syn. poor; indigent,needy
14,cancel out; make ineffective or invalid; deny,v. Syn. nullify; deny,negate
15,act of denying; assertion of the nonrealistic or untruthfulness of anything,n. ,negation
16,adverse; involving disadvantage or harm; pessimistic,a. Syn. adverse; disparaging,negative
17,disregard; ignore; pay little or no attention to,v. Syn. disregard; ignore,neglect
18,neglect; failure to take reasonable care; state or quality of being negligent,n. Syn. neglect,negligence
19,careless; inattentive,a. Syn. careless; inattentive,negligent
20,"so small, trifling, or unimportant that it may be easily disregarded",a. Syn. insignificant; tiny,negligible
21,capable of being negotiated; transferable by assignment or endorsement to another person,a. ,negotiable
22,discussion intended to produce an agreement,n. ,negotiation
23,agitated; anxious,a. Syn. agitated; anxious,nervous
24,"any system of lines or channels crossing like the fabric of a net; complex, interconnected group or system",n. ,network
25,impartial; not supporting one side over another,a. Syn. impartial,neutral
26,elementary particle with 0 charge and mass about equal to a proton,n. ,neutron
27,not the less; notwithstanding; in spite of that; yet,ad. ,nevertheless
28,coin worth one twentieth of a dollar,n. ,nickel
29,"dream arousing feelings of intense fear, horror, and distress; event or experience that is intensely distressing",n. ,nightmare
30,"colorless nonmetallic element, tasteless and odorless, comprising four fifths of the atmosphere by volume",n. ,nitrogen
31,quality or state of being noble; superiority of mind or of character; commanding excellence; eminence,n. ,nobility
32,full of loud and nonmusical sounds; clamorous,a. Syn. vociferous; clamorous,noisy
33,in name only; insignificantly small,a. ,nominal
34,designate; appoint,v. Syn. designate; appoint,nominate
35,act of naming or nominating; designation of a person as a candidate for office,n. ,nomination
36,silliness; words or signs having no intelligible meaning,n. Syn. silliness; rubbish,nonsense
37,convention; standard; rule,n. Syn. convention; standard; rule,norm
38,usually; as a rule; regularly; according to a rule,ad. Syn. usually; commonly,normally
39,worthy of note or notice; remarkable; important,a. Syn. conspicuous; distinguished,notable
40,especially; in a notable manner; remarkably; particularly,ad. Syn. especially; remarkably; particularly,notably
41,observe carefully; notice; show; indicate,v. ,note
42,make known;  give notice to; inform by notice,v. Syn. declare; publish,notify
43,general or universal conception; belief or opinion,n. Syn. idea; conception,notion
44,disreputable; known widely and usually unfavorably; infamous,a. Syn. disreputable; infamous,notorious
45,nevertheless; in spite of; despite anything to the contrary,ad. ,notwithstanding
46,nonexistence; nothingness; zero,n. Syn. naught,nought
47,provide with nourishment; provide with food or other substances necessary for life and growth,v. Syn. feed; nurture,nourish
48,a source of materials to nourish the body,n. ,nourishment
49,"previously unknown; strikingly new, unusual, or different; young",a. Syn. original; innovative,novel
50,quality of being novel; newness; something new and unusual,n. Syn. newness; innovation,novelty
51,during current time; presently,ad. Syn. now; presently,nowadays
52,not anywhere; not in any place or state,ad. ,nowhere
53,"of, relating to, or forming a nucleus of an atom; pertaining to, or using nuclear weapons",a. Syn. atomic,nuclear
54,central or essential part around which other parts are gathered or grouped; core,n. Syn. hub; core,nucleus
55,something that annoys or gives trouble and vexation; something that is offensive or noxious,n. ,nuisance
56,invalid; void; nullified; having no legal force; invalid,a. Syn. invalid; void; nullified,null
57,make invalid; make null; invalidate; counteract force or effectiveness of,v. ,nullify
58,"belonging to number; denoting number; consisting in numbers; expressed by numbers, and not letters",a. ,numerical
59,many; various; amounting to a large indefinite number,a. Syn. many; various,numerous
60,room for baby; area in a household set apart for the use of children,n. ,nursery
61,"any of a family of high-strength, resilient synthetic polymers",n. ,nylon
62,any tree or shrub of the genus Quercus; durable wood of any of these trees or shrubs,n. ,oak
63,"long, thin, usually wooden pole with a blade at one end, used to row or steer a boat",n. ,oar
64,solemn promise; commitment to tell the truth,n. Syn. vow; pledge,oath
65,"subject in will or act to authority; willing to obey; submissive to restraint, control, or command",a. ,obedient
66,be averse to or express disapproval of,v. ,object
67,act of expressing earnest opposition or protest,n. Syn. opposition; denial,objection
68,not influenced by emotions; having actual existence or reality,a. Syn. fair,objective
69,"act of binding oneself by a social, legal, or moral tie; written promise to repay a debt",n. Syn. duty; commitment,obligation
70,force; bind by an obligation; cause to be indebted; do a service or favor for,v. Syn. force; compel; coerce,oblige
71,destroy completely; do away with completely so as to leave no trace,v. Syn. delete; erase; abolish,obliterate
72,"having greater length than breadth, especially when rectangular",a. ,oblong
73,darken; make dim or indistinct; conceal in obscurity,v. Syn. darken; hide; block,obscure
74,"act or practice of observing or noticing with attention; an act, ceremony, or rite, as of worship or respect",n. ,observance
75,be on the watch respecting; pay attention to; notice with care; see; perceive,v. ,observe
76,"one that opposes, stands in the way of, or holds up progress",n. Syn. obstruction; impediment; hindrance,obstacle
77,stubbornly adhering to an attitude or opinion; hard to control or treat,a. Syn. stubborn,obstinate
78,act of obstructing; any structure that makes progress difficult ,n. ,obstruction
79,"get hold of; gain possession of; acquire, in any way",v. Syn. acquire; get; procure; derive,obtain
80,available; capable of being obtained,a. Syn. available,obtainable
81,exposed; easily discovered; plain,a. Syn. evident; apparent,obvious
82,significant event that occurs at a critical time; opportunity to do something; event or happening,n. Syn. incident,occasion
83,random; occurring from time to time; infrequent,a. Syn. random; incidental,occasional
84,now and then; from time to time; infrequently; irregularly,ad. Syn. sometimes; infrequently; irregularly,occasionally
85,act of occupying or taking possession; control of a country by military forces of a foreign power,n. Syn. job; vocation; business,occupation
86,inhabit;  live in a certain place; be present in; be inside of,v. Syn. inhabit,occupy
87,take place; be found to exist ; come to one's mind,v. Syn. happen,occur
88,an event that happens,n. Syn. incidence; event; happening,occurrence
89,not easily explained; beyond from the usual or expected; not divisible by two,a. Syn. bizarre; strange; unusual,odd
90,"any smell, whether fragrant or offensive; scent; perfume",a. Syn. odor,odour
91,"act of causing anger, resentment, displeasure, or affront; violation or infraction of moral or social code",n. ,offence
92,strike against; attack; assail; make angry; affront,v. ,offend
93,"causing anger, displeasure, resentment, or affront",a. Syn. attacking; insulting; distasteful,offensive
94,"act of presenting; something, such as a suggestion, proposal, bid, or recommendation",n. Syn. proposal,offer
95,"counterbalance, counteract, or compensate for; balance",v. ,offset
96,descendant,n. Syn. descendant,offspring
97,any indication or action regarded as a foreshowing; phenomenon supposed to portend good or evil,n. ,omen
98,threatening; foreshadowing evil or tragic developments,a. Syn. threatening,ominous
99,act of omitting; neglect or failure to do something required by propriety or duty,n. ,omission
100,leave undone or leave out ; bypass; neglect; fail to include or mention,v. Syn. bypass; neglect,omit
101,beginning or early stages; offensive against enemy,n. Syn. start; assault,onset
102,impenetrable by light; not transparent; not reflecting light; having no luster,a. Syn. nontransparent; obscure,opaque
103,a drama set to music and consists of singing ,n. ,opera
104,"having power of acting; exerting force, physical or moral; active in the production of effects",a. ,operative
105,notion or conviction founded on probable evidence; belief stronger than impression; favorable estimation,n. ,opinion
106,contestant; someone who offers opposition ; adverse; hostile; opposing,n. Syn. antagonist; adversary,opponent
107,timely; just in time; suited or right for a particular purpose,a. Syn. timely,opportune
108,favorable or advantageous circumstance; chance for progress or advancement,n. Syn. chance; probability,opportunity
109,"place in front of, or over against; set opposite; exhibit; confront; resist; withstand",v. ,oppose
110,two words that express opposing concepts; contrariwise; directly facing each other,n. ,opposite
111,condition of being in conflict; act of opposing something ,n. ,opposition
112,of or relating to or involving light or optics,a. ,optical
113,most advantageous; optimum; ideal,a. Syn. optimum; ideal,optimal
114,tendency to expect the best possible outcome; belief that the universe is improving and good will win over evil,n. ,optimism
115,hopeful; positive; expecting the best in all possible ways,a. Syn. hopeful; positive,optimistic
116,most favorable or advantageous,a. Syn. best,optimum
117,act of choosing; power or freedom to choose,n. Syn. alternative; choice; selection,option
118,not obligatory; left to choice; not compulsory or automatic,a. ,optional
119,spoken; unwritten; relating to the mouth,a. Syn. spoken; unwritten,oral
120,path; circle; move in an orbit; encircle,n. Syn. path; circle,orbit
121,garden; area of land devoted to the cultivation of fruit or nut trees,n. Syn. garden,orchard
122,band,n. Syn. band,orchestra
123,conformed to order; in order; regular; well-regulated,a. ,orderly
124,mineral that contains metal that is valuable enough to be mined,n. Syn. mineral,ore
125,"natural part or structure in animal or plant, capable of performing some special action",n. ,organ
126,simple and healthful and close to nature,a. ,organic
127,living being; system considered analogous in structure or function to a living body,n. ,organism
128,focus toward; determine position with reference to another point; locate to face the east,v. Syn. direct; guide; lead,orient
129,of or relating to the countries of the orient or their peoples or cultures; eastern,a. ,oriental
130,act of finding oneself position; position or alignment relative to points of directions; course introducing new situation,n. Syn. direction,orientation
131,the first existence or beginning of anything; birth; fountain,n. ,origin
132,not second hand; not copied or translated from something else,a. Syn. first; primary,original
133,novelty; creativity; capacity to act or think independently,n. Syn. novelty; creativity,originality
134,initiate; invent; bring into being; create,v. Syn. initiate; invent; begin,originate
135,decoration; something used to beautify,n. Syn. decoration; adornment,ornament
136,decorative; any plant grown for its beauty or ornamental value,a. Syn. decorative; embellishing,ornamental
137,unit of weight equal to one sixteenth of a pound,n. ,ounce
138,beginning; eruption; explosion,n. Syn. beginning; eruption; explosion,outbreak
139,result; end or consequence; result of a random trial,n. Syn. result; effect,outcome
140,out of house; out of doors,ad. ,outdoors
141,far most; utmost; outmost; most distant from the center or inside,a. Syn. utmost,outermost
142,unconventional; strikingly unfamiliar; located far from civilized areas,a. Syn. strange; bizarre,outlandish
143,"person excluded from the benefit of the law, or deprived of its protection; fugitive from the law; habitual criminal",n. ,outlaw
144,an opening that permits escape or release; activity that releases creative energy or emotion,n. Syn. channel,outlet
145,line that appears to bound an object; shape of an object or figure; summary of a written work or speech,n. ,outline
146,prospect; view; belief about the future ; act of looking out,n. Syn. viewpoint; standpoint,outlook
147,act or process of producing; production; amount produced during a certain time,n. Syn. production; product,output
148,act of extreme violence or viciousness; offense,n. Syn. atrocity; barbarity,outrage
149,"of the nature of an outrage; exceeding the limits of right, reason",n. Syn. violent; atrocious,outrageous
150,altogether; entirely; without reservation or exception,ad. Syn. altogether; entirely,outright
151,beginning; start; origin; time at which something is supposed to begin ,n. ,outset
152,distinguished from others in excellence,a. ,outstanding
153,elliptic; rounded like an egg,a. Syn. elliptic,oval
154,general; comprehensive; from one end to the other; including everything,a. Syn. general; comprehensive,overall
155,"covered or obscured, as with clouds or mist; gloomy; melancholy",a. ,overcast
156,overprice; a price that is too high,n. Syn. overprice,overcharge
157,defeat another in competition or conflict; conquer; prevail over,v. Syn. defeat,overcome
158,make too high an estimate of,v. ,overestimate
159,"flow over; cover with, or as with, water or other fluid; spread over; flow over the brim of",v. ,overflow
160,hear more of anything than was intended to be heard; hear again,v. ,overhear
161,representation of common ground between two things;  extend over and cover a part of,n. ,overlap
162,covering with a design in which one element covers a part of another,a. ,overlapping
163,place too much a load on,v. ,overload
164,ignore; disregard;  fail to notice ; watch over,v. Syn. ignore; disregard,overlook
165,beyond or across the sea; abroad,ad. ,overseas
166,unintentional omission or mistake; watchful care or management; supervision,n. Syn. omission; inattention,oversight
167,"come up with in a course, pursuit, progress, or motion; catch up with; come upon from behind; capture; overcome",v. ,overtake
168,throw over; overturn; upset; turn upside down; cause to fall or to fail,v. ,overthrow
169,beyond the regular time,n. ,overtime
170,defeat; cover completely or make imperceptible;  overcome by superior force ; charge someone with too many tasks ,v. ,overwhelm
171,overpowering in effect or strength; very great or intense; extreme,a. ,overwhelming
172,be in debt; be obliged to pay or repay,v. ,owe
173,any species of raptorial birds of the family Strigidae,n. ,owl
174,belonging to oneself or itself; not foreign; domestic,a. ,own
175,having and controlling property,n. ,ownership
176,any compound of oxygen with another element; a binary chemical compound of oxygen,n. ,oxide
177,a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas,n. ,oxygen
178,marine mollusks having a rough irregular shell,n. ,oyster
0,single movement from one foot to the other in walking; slow gait; step,n. Syn. step,pace
1,pact or bundle made up and prepared to be carried; a number of similar things; a full set of playing cards,n. ,pack
2,putting something into boxes,n. ,packaging
3,"soft or small cushion; a kind of cushion for writing upon, or for blotting",n. ,pad
4,drawing; picture or design in paint;  action of applying paint to a surface,n. Syn. drawing,painting
5,two people or things considered as a unit; two items of the same kind; couple,n. Syn. couple,pair
6,not ruddy; dusky white; pallid; not bright or brilliant,a. ,pale
7,inner surface of the hand between bases of fingers and wrist; tropical evergreen trees of the family Palmae,n. ,palm
8,brochure; leaflet; a small book usually having a paper cover,n. ,pamphlet
9,criticize harshly; wash in pan; cook in pan,v. Syn. criticize,pan
10,framed section of window or door that is filled with a sheet of glass or others; panel in a wall or door,n. ,pane
11,a group of people gathered for a special purpose; small board or pad,n. Syn. board,panel
12,sudden mass fear and anxiety,n. Syn. alarm; fear,panic
13,complete view in every direction.,v. ,panorama
14,related to unobstructed and comprehensive view; with a wide view,a. ,panoramic
15,breathe quickly or in a labored manner; respire with heaving of the breast; sigh,v. ,pant
16,apartment or closet in which bread and other provisions are kept,n. ,pantry
17,trousers; underwear; garment extending from waist to knee or ankle,n. Syn. trousers; underwear,pants
18,"amount or level considered to be average; standard; equality of status, level, or value",n. ,par
19,rescue equipment consisting of a device that fills with air and retards your fall,n. ,parachute
20,march in a procession;  ceremonial procession; visible display,n. Syn. march; procession,parade
21,garden of Eden; any place of complete delight and peace,n. ,paradise
22,"distinct division of written or printed matter that begins on a new, usually indented line",n. ,paragraph
23,make or place something to another's side; of or relating to multiple operations at same time; not intersecting,n. Syn. similarity; analogy,parallel
24,make unable to move or act; impair the progress or functioning of,v. Syn. paralyze,paralyse
25,characteristic or feature that distinguishes something from others,n. ,parameter
26,animal or plant living on another,n. ,parasite
27,"discussion; formal conference on public affairs; general council, especially an assembly of representatives of a nation",n. ,parliament
28,incomplete; fragmentary; favoring one person or side over another or others,a. Syn. incomplete; fragmentary; sectional,partial
29,people who take part in,n. ,participant
30,take part in something; share in something,v. ,participate
31,a tiny piece of anything,n. Syn. speck; grain,particle
32,"divide into parts, pieces, or sections",v. Syn. divide,partition
33,person who is a member of a partnership; associate who works with others toward a common goal,n. ,partner
34,strong feeling or emotion ; fervor,n. Syn. ardor; fervor,passion
35,zealous; enthusiastic; filled with or motivated by zeal,a. Syn. ardent; zealous; enthusiastic,passionate
36,lacking in energy or will;  peacefully resistant in response to injustice,a. Syn. compliant; inactive,passive
37,legal document identifying the bearer as citizen of a country and allowing to travel abroad,n. ,passport
38,"something which amuses, and serves to make time pass agreeably; sport; amusement",n. ,pastime
39,field covered with grass; meadow,n. Syn. field; meadow,pasture
40,a piece of cloth; small area of ground covered by specific vegetation,n. Syn. expanse; piece,patch
41,open for the public to read; obvious; plain,a. Syn. obvious; apparent,patent
42,way; footway; course or track; route; passage,n. Syn. orbit; roadway,path
43,"causing sadness, compassion, or pity",a. Syn. touching; pathetic; pitiful,pathetic
44,one who loves and defends his or her country,n. ,patriot
45,inspired by love for one's country,a. ,patriotic
46,love of country; devotion to welfare of one's country; virtues and actions of patriot,n. ,patriotism
47,activity of going on an area at regular intervals for security purposes,n. Syn. guard; watch,patrol
48,benefactor; regular customer,n. Syn. benefactor,patron
49,sponsorship; support;  state of being a sponsor,n. Syn. sponsorship; support,patronage
50,coat; cover,v. Syn. coat; cover,pave
51,"floor or covering of solid material, laid so as to make hard and convenient surface for travel",n. ,pavement
52,something given as security for loan; pledge or guaranty; article deposited as security,n. ,pawn
53,"small tree in Prunus persica widely cultivated at temperate regions, having pink flowers and edible fruit",n. ,peach
54,summit; apex; maximum; prime,n. ,peak
55,small smooth rounded rock,n. ,pebble
56,pick; hit lightly with a picking motion; eat like a bird,v. Syn. pick,peck
57,special; characteristic; unusual; odd; bizarre,a. Syn. special; characteristic,peculiar
58,eccentricity; oddness; an odd or unusual characteristic; private ownership; proprietorship,n. Syn. eccentricity; oddness,peculiarity
59,foot-operated lever used for actuating or controlling a mechanism,n. ,pedal
60,lacking wit or imagination; ordinary,a. Syn. dull,pedestrian
61,come off in flakes or thin small pieces; strip the skin off; get undressed,v. ,peel
62,gaze; stare; look searchingly; company with,v. Syn. gaze; stare,peer
63,punishment established by law or authority for a crime or offense; fine,n. Syn. punishment; fine,penalty
64,not yet decided or settled; awaiting conclusion or confirmation,a. Syn. impending; imminent,pending
65,pierce; go through; permeate,v. Syn. pierce; permeate,penetrate
66,"act or process of penetrating, piercing, or entering",n. ,penetration
67,something paid or given; payment to a person in consideration of past services,n. Syn. payment; tribute,pension
68,become aware of through the senses; detect,v. Syn. sense; detect,perceive
69,out of each hundred; per hundred; one part in a hundred,n. ,percent
70,understanding; feeling; effect or product of perceiving,n. Syn. understanding; feeling; sense,perception
71,a place high up; an elevated place serving as a seat ,n. ,perch
72,"completed; not defective nor redundant; having all the properties or qualities; without flaw, fault, or blemish; without error",a. Syn. flawless; ideal,perfect
73,flawlessness; excellence; state of being without flaw or defect,n. Syn. flawlessness; excellence,perfection
74,carry through; bring to completion; achieve; accomplish; execute,v. Syn. handle; execute,perform
75,act of performing; dramatic or musical entertainment; process or manner,n. Syn. execution; show; presentataion,performance
